entityType,nationality,dataSource,listType,firstName,lastName,party,constituency,URI
Individual,UK,http://www.theyworkforyou.com,PEP,Diane,Abbott,Labour,Hackney North and Stoke Newington,http://www.theyworkforyou.com/mp/10001/diane_abbott/hackney_north_and_stoke_newington
Individual,UK,http://www.theyworkforyou.com,PEP,Debbie,Abrahams,Labour,Oldham East and Saddleworth,http://www.theyworkforyou.com/mp/25034/debbie_abrahams/oldham_east_and_saddleworth
Individual,UK,http://www.theyworkforyou.com,PEP,Nigel,Adams,Conservative,Selby and Ainsty,http://www.theyworkforyou.com/mp/24878/nigel_adams/selby_and_ainsty
Individual,UK,http://www.theyworkforyou.com,PEP,Adam,Afriyie,Conservative,Windsor,http://www.theyworkforyou.com/mp/11929/adam_afriyie/windsor
Individual,UK,http://www.theyworkforyou.com,PEP,Bob,Ainsworth,Labour,Coventry North East,http://www.theyworkforyou.com/mp/10005/bob_ainsworth/coventry_north_east
Individual,UK,http://www.theyworkforyou.com,PEP,Peter,Aldous,Conservative,Waveney,http://www.theyworkforyou.com/mp/24904/peter_aldous/waveney
Individual,UK,http://www.theyworkforyou.com,PEP,Danny,Alexander,Liberal Democrat,"Inverness, Nairn, Badenoch and Strathspey",http://www.theyworkforyou.com/mp/11995/danny_alexander/inverness%2C_nairn%2C_badenoch_and_strathspey
Individual,UK,http://www.theyworkforyou.com,PEP,Douglas,Alexander,Labour,Paisley and Renfrewshire South,http://www.theyworkforyou.com/mp/10661/douglas_alexander/paisley_and_renfrewshire_south
Individual,UK,http://www.theyworkforyou.com,PEP,Heidi,Alexander,Labour,Lewisham East,http://www.theyworkforyou.com/mp/24953/heidi_alexander/lewisham_east
Individual,UK,http://www.theyworkforyou.com,PEP,Rushanara,Ali,Labour,Bethnal Green and Bow,http://www.theyworkforyou.com/mp/24958/rushanara_ali/bethnal_green_and_bow
Individual,UK,http://www.theyworkforyou.com,PEP,Graham,Allen,Labour,Nottingham North,http://www.theyworkforyou.com/mp/10008/graham_allen/nottingham_north
Individual,UK,http://www.theyworkforyou.com,PEP,David,Amess,Conservative,Southend West,http://www.theyworkforyou.com/mp/10009/david_amess/southend_west
Individual,UK,http://www.theyworkforyou.com,PEP,David,Anderson,Labour,Blaydon,http://www.theyworkforyou.com/mp/11427/david_anderson/blaydon
Individual,UK,http://www.theyworkforyou.com,PEP,Stuart,Andrew,Conservative,Pudsey,http://www.theyworkforyou.com/mp/24864/stuart_andrew/pudsey
Individual,UK,http://www.theyworkforyou.com,PEP,James,Arbuthnot,Conservative,North East Hampshire,http://www.theyworkforyou.com/mp/10013/james_arbuthnot/north_east_hampshire
Individual,UK,http://www.theyworkforyou.com,PEP,Jonathan,Ashworth,Labour,Leicester South,http://www.theyworkforyou.com/mp/25120/jonathan_ashworth/leicester_south
Individual,UK,http://www.theyworkforyou.com,PEP,Ian,Austin,Labour,Dudley North,http://www.theyworkforyou.com/mp/11553/ian_austin/dudley_north
Individual,UK,http://www.theyworkforyou.com,PEP,Richard,Bacon,Conservative,South Norfolk,http://www.theyworkforyou.com/mp/10707/richard_bacon/south_norfolk
Individual,UK,http://www.theyworkforyou.com,PEP,Adrian,Bailey,Labour,West Bromwich West,http://www.theyworkforyou.com/mp/10683/adrian_bailey/west_bromwich_west
Individual,UK,http://www.theyworkforyou.com,PEP,William,Bain,Labour,Glasgow North East,http://www.theyworkforyou.com/mp/24697/william_bain/glasgow_north_east
Individual,UK,http://www.theyworkforyou.com,PEP,Norman,Baker,Liberal Democrat,Lewes,http://www.theyworkforyou.com/mp/10022/norman_baker/lewes
Individual,UK,http://www.theyworkforyou.com,PEP,Steven,Baker,Conservative,Wycombe,http://www.theyworkforyou.com/mp/24786/steven_baker/wycombe
Individual,UK,http://www.theyworkforyou.com,PEP,Tony,Baldry,Conservative,Banbury,http://www.theyworkforyou.com/mp/10023/tony_baldry/banbury
Individual,UK,http://www.theyworkforyou.com,PEP,Harriett,Baldwin,Conservative,West Worcestershire,http://www.theyworkforyou.com/mp/24785/harriett_baldwin/west_worcestershire
Individual,UK,http://www.theyworkforyou.com,PEP,Edward,Balls,Labour,Morley and Outwood,http://www.theyworkforyou.com/mp/11740/edward_balls/morley_and_outwood
Individual,UK,http://www.theyworkforyou.com,PEP,Gordon,Banks,Labour,Ochil and South Perthshire,http://www.theyworkforyou.com/mp/12005/gordon_banks/ochil_and_south_perthshire
Individual,UK,http://www.theyworkforyou.com,PEP,Stephen,Barclay,Conservative,North East Cambridgeshire,http://www.theyworkforyou.com/mp/24916/stephen_barclay/north_east_cambridgeshire
Individual,UK,http://www.theyworkforyou.com,PEP,Gregory,Barker,Conservative,Bexhill and Battle,http://www.theyworkforyou.com/mp/10713/gregory_barker/bexhill_and_battle
Individual,UK,http://www.theyworkforyou.com,PEP,John,Baron,Conservative,Basildon and Billericay,http://www.theyworkforyou.com/mp/10715/john_baron/basildon_and_billericay
Individual,UK,http://www.theyworkforyou.com,PEP,Kevin,Barron,Labour,Rother Valley,http://www.theyworkforyou.com/mp/10027/kevin_barron/rother_valley
Individual,UK,http://www.theyworkforyou.com,PEP,Gavin,Barwell,Conservative,Croydon Central,http://www.theyworkforyou.com/mp/24863/gavin_barwell/croydon_central
Individual,UK,http://www.theyworkforyou.com,PEP,Hugh,Bayley,Labour,York Central,http://www.theyworkforyou.com/mp/10029/hugh_bayley/york_central
Individual,UK,http://www.theyworkforyou.com,PEP,Guto,Bebb,Conservative,Aberconwy,http://www.theyworkforyou.com/mp/24736/guto_bebb/aberconwy
Individual,UK,http://www.theyworkforyou.com,PEP,Margaret,Beckett,Labour,Derby South,http://www.theyworkforyou.com/mp/10031/margaret_beckett/derby_south
Individual,UK,http://www.theyworkforyou.com,PEP,Anne,Begg,Labour,Aberdeen South,http://www.theyworkforyou.com/mp/10032/anne_begg/aberdeen_south
Individual,UK,http://www.theyworkforyou.com,PEP,Alan,Beith,Liberal Democrat,Berwick-upon-Tweed,http://www.theyworkforyou.com/mp/10034/alan_beith/berwick-upon-tweed
Individual,UK,http://www.theyworkforyou.com,PEP,Henry,Bellingham,Conservative,North West Norfolk,http://www.theyworkforyou.com/mp/10726/henry_bellingham/north_west_norfolk
Individual,UK,http://www.theyworkforyou.com,PEP,Hilary,Benn,Labour,Leeds Central,http://www.theyworkforyou.com/mp/10669/hilary_benn/leeds_central
Individual,UK,http://www.theyworkforyou.com,PEP,Joe,Benton,Labour,Bootle,http://www.theyworkforyou.com/mp/10039/joe_benton/bootle
Individual,UK,http://www.theyworkforyou.com,PEP,Richard,Benyon,Conservative,Newbury,http://www.theyworkforyou.com/mp/11727/richard_benyon/newbury
Individual,UK,http://www.theyworkforyou.com,PEP,John,Bercow,-,Buckingham,http://www.theyworkforyou.com/mp/10040/john_bercow/buckingham
Individual,UK,http://www.theyworkforyou.com,PEP,Paul,Beresford,Conservative,Mole Valley,http://www.theyworkforyou.com/mp/10041/paul_beresford/mole_valley
Individual,UK,http://www.theyworkforyou.com,PEP,Luciana,Berger,Labour,"Liverpool, Wavertree",http://www.theyworkforyou.com/mp/24924/luciana_berger/liverpool%2C_wavertree
Individual,UK,http://www.theyworkforyou.com,PEP,Jake,Berry,Conservative,Rossendale and Darwen,http://www.theyworkforyou.com/mp/24860/jake_berry/rossendale_and_darwen
Individual,UK,http://www.theyworkforyou.com,PEP,Clive,Betts,Labour,Sheffield South East,http://www.theyworkforyou.com/mp/10045/clive_betts/sheffield_south_east
Individual,UK,http://www.theyworkforyou.com,PEP,Andrew,Bingham,Conservative,High Peak,http://www.theyworkforyou.com/mp/24748/andrew_bingham/high_peak
Individual,UK,http://www.theyworkforyou.com,PEP,Brian,Binley,Conservative,Northampton South,http://www.theyworkforyou.com/mp/11742/brian_binley/northampton_south
